列1,列2,列3,列4,列5,列6,列7,列8,列9
Long Distance Quantum Key Distribution,Lai Zhou Beijing Academy of Quantum Information Sciences,2023-04-21 14:00-2023-04-21 15:00,MMW-S327,清华大学,https://iiis.tsinghua.edu.cn/show-10374-1.html,2023-04-21 14:00-2023-04-21 15:00,"Quantum cryptography promises secure communication between two distant users. However, secure key rate of point-point quantum key distribution (QKD) is bounded by the linear rate-loss limit. Twin-field (TF) QKD can break this limit but its implementation requires global phase tracking and usually also cumbersome interferometric implementations, which are often impractical for network deployment. We remove the above shortcomings with two different solutions. In the first solution, we introduce locally generated frequency combs to stabilise an open channel, and develop a simple and versatile TF-QKD setup that does not need service fibre [1]. In the second, we implement a simple measurement device independent (MDI) QKD with post-measurement pairing technique. We demonstrate the capability of asynchronous MDI-QKD (also named mode-pairing MDI-QKD) overcoming the linear rate-loss limit without global phase tracking [2].
[1] L. Zhou, J. Lin, Y. Jing and Z.. Yuan, Nat. Commun. 14, 928 (2023).
[2] L. Zhou, J. Lin, Y. Xie, Y. Lu, Y. Jing, H. Yin and Z. Yuan, arXiv: 2212.14190 (2022), to appear in PRL.","Dr. Lai Zhou received the B.S. and Ph.D. degrees from Tsinghua University in 2013 and 2018, respectively. He was a postdoctor at the University of Oxford in 2019. Since February 2020, he has been an assistant researcher at Beijing Academy of Quantum Information Sciences. His research interests include long distance quantum key distribution and quantum networks."
Understanding the Visual World Through Naturally Supervised Code,Jiajun Wu Stanford University,2023-04-20 16:00-2023-04-20 17:00,FIT 1-315,清华大学,https://iiis.tsinghua.edu.cn/show-10372-1.html,2023-04-20 16:00-2023-04-20 17:00,"The visual world has its inherent structure: scenes are made of multiple identical objects; different objects may have the same color or material, with a regular layout; each object can be symmetric and have repetitive parts. How can we infer, represent, and use such structure from raw data, without hampering the expressiveness of neural networks? In this talk, I will demonstrate that such structure, or code, can be learned from natural supervision. Here, natural supervision can be from pixels, where neuro-symbolic methods automatically discover repetitive parts and objects for scene synthesis. It can also be from objects, where humans during fabrication introduce priors that can be leveraged by machines to infer regular intrinsics such as texture and material. When solving these problems, structured representations and neural nets play complementary roles: it is more data-efficient to learn with structured representations, and they generalize better to new scenarios with robustly captured high-level information; neural nets effectively extract complex, low-level features from cluttered and noisy visual data.","Jiajun Wu is an Assistant Professor of Computer Science at Stanford University, working on computer vision, machine learning, and computational cognitive science. Before joining Stanford, he was a Visiting Faculty Researcher at Google Research. He received his PhD in Electrical Engineering and Computer Science from the Massachusetts Institute of Technology. Wu's research has been recognized through the AFOSR Young Investigator Research Program (YIP), the ACM Doctoral Dissertation Award Honorable Mention, the AAAI/ACM SIGAI Doctoral Dissertation Award, the MIT George M. Sprowls PhD Thesis Award in Artificial Intelligence and Decision-Making, the 2020 Samsung AI Researcher of the Year, the IROS Best Paper Award on Cognitive Robotics, and faculty research awards from JPMC, Samsung, Amazon, and Meta."
A Peek into Learning Dexterous Manipulation Skills,Tao Chen MIT CSAIL,2023-04-20 10:00-2023-04-20 11:00,C19-1 or Online: https://us06web.zoom.us/j/85822472330?pwd=VU1DTE1wek0zWHlOMlpaQko1dXNnZz09,清华大学,https://iiis.tsinghua.edu.cn/show-10373-1.html,2023-04-20 10:00-2023-04-20 11:00,"In recent years, there has been significant progress in robotics grasping, with many techniques being commercialized and utilized in factories and warehouses. However, comparatively, dexterous manipulation research has received much less attention due to its complexities in control, sensing, hardware design, etc. In this talk, I will share our initial effort in developing a learning pipeline that efficiently learns generalizable contact-rich skills from raw sensory data using a low-cost hardware system costing less than $5000. Our system has achieved zero-shot sim-to-real transfer on dynamic and contact-rich tasks (in-hand object reorientation), and is capable of reorienting hundreds of geometrically distinct objects.","Tao Chen is a Ph.D. student at MIT CSAIL, advised by Prof. Pulkit Agrawal. His research interests include all aspects of robot learning, with a recent focus on dexterous manipulation. His work on in-hand object reorientation won the best paper award at CoRL 2021."
Learning Dexterous Manipulation from Human,Yuzhe Qin University of California,2023-04-19 16:00-2023-04-19 17:00,C19-2 or 腾讯会议：https://meeting.tencent.com/dm/4PL7WZy1BQ5V,清华大学,https://iiis.tsinghua.edu.cn/show-10369-1.html,2023-04-19 16:00-2023-04-19 17:00,"Dexterous manipulation using multi-fingered hands poses significant challenges in robotics. The intricate contact behavior is difficult to model, limiting the efficacy of model-based approaches. Additionally, the high degree of freedom (DoF) actuation and discontinuous interaction patterns increase the sample complexity for training model-free policies. However, the human hand's similar morphology presents a unique opportunity to learn from human demonstrations. How and where can we collect human demonstration data? What learning paradigm can we use to acquire robot manipulation skills from human data? In what aspects can human demonstrations benefit dexterous manipulation? This talk will introduce several of our works that are advancing the frontier of this research area.","Yuzhe Qin is a third-year Ph.D. student at the University of California, San Diego, co-advised by Prof. Hao Su and Prof. Xiaolong Wang, and has previous experience interning at the NVIDIA Seattle Robotics Lab and Google Robotics. He obtains a bachelor's degree from the Department of Mechanical Engineering at Shanghai Jiao Tong University. His research centers on the development of robots capable of learning manipulation through interactions."
Machine Learning for 3D Content Cretion,Jun Gao University of Toronto,2023-04-18 16:00-2023-04-18 18:00,C19-2 or 腾讯会议：https://meeting.tencent.com/dm/8ox32Vj3YvX7,清华大学,https://iiis.tsinghua.edu.cn/show-10368-1.html,2023-04-18 16:00-2023-04-18 18:00,"With the increasing demand for creating large-scale 3D virtual worlds in many industries, there is an immense need for diverse and high-quality 3D content. Machine learning is existentially enabling this quest. In this talk, I will discuss how looking from the perspective of combining differentiable iso-surfacing with differentiable rendering could enable 3D content creation at scale and make a real-world impact. Towards this end, we first introduce a differentiable 3D representation based on a tetrahedral grid to enable high-quality recovery of 3D mesh with arbitrary topology. By incorporating differentiable rendering, we further design a generative model capable of producing 3D shapes with complex textures and materials for mesh generation. Our framework further paves the way for innovative high-quality 3D mesh creation from text prompt leveraging 2D diffusion models, which democratizes 3D content creation for novice users.","Jun Gao is a PhD student at the University of Toronto advised by Prof. Sanja Fidler. He also holds the position of Research Scientist at NVIDIA Toronto AI lab. His research interests focus on the intersection of 3D computer vision and computer graphics, particularly developing machine learning tools to facilitate large-scale 3D content creation and drive real-world applications. His work has been presented at prestigious conferences such as NeurIPS, CVPR, ICCV, ECCV, ICLR and SIGGRAPH. Many of his contributions have been implemented in products, including NVIDIA Picasso, GANVerse3D, Neural DriveSim and Toronto Annotation Suite. He will serve as an Area Chair at NeurIPS 2023."
Fast and Accurate PDE Solvers via Neural Fields,Yichen Chen MIT CSAIL,2023-04-17 16:00-2023-04-17 17:00,C19-2 or 腾讯会议：203-746-249,清华大学,https://iiis.tsinghua.edu.cn/show-10366-1.html,2023-04-17 16:00-2023-04-17 17:00,"Numerically solving partial differential equations (PDEs) often entails spatial discretizations. Traditional methods (e.g., finite difference, finite element, smoothed-particle hydrodynamics) adopt spatial discretizations, such as grids, meshes, and point clouds. While intuitive to model and understand, these discretizations suffer from (1) long runtime for large-scale problems with many spatial degrees of freedom (DOFs); (2) discretization errors, such as dissipation (fluid) and inaccurate contact (solid). In this talk, we will discuss our two recent works leveraging implicit neural representations (also known as neural fields) to tackle traditional representations’ excessive runtime and discretization errors.
The first work accelerates PDE solvers using reduced-order modeling (ROM). Whereas prior ROM approaches reduce the dimensionality of discretized vector fields, our continuous reduced-order modeling (CROM) approach builds a low-dimensional manifold of the continuous vector fields themselves, not their discretization. Compared to prior discretization-dependent ROM methods (e.g., POD, PCA, autoencoders), CROM features higher accuracy (49-79x), lower memory consumption (39-132x), dynamically adaptive resolutions, and applicability to any discretization. Experiments demonstrate 109x and 89x wall-clock speedups over unreduced models on CPUs and GPUs.
The second work encodes spatial information through neural network weights and computes PDE time-stepping with optimization time integrators. While slower to compute than traditional representations, our approach achieves higher accuracy under the same memory constraint and features adaptive allocation of DOFs without complex remeshing.","Peter Yichen Chen is a postdoctoral associate at MIT CSAIL, advised by Wojciech Matusik. He completed his CS PhD from Columbia, advised by Eitan Grinspun. Before that, he was a Sherwood-Prize-winning math undergrad from UCLA, working with Joey Teran. Peter's research centers around artificial intelligence (AI) and scientific computing. In particular, he focuses on building physics simulation frameworks with machine learning approaches."
Enhancing the Creative Process in Digital Prototyping,Zeyu Wang Hong Kong University of Science and Technology,2023-04-13 19:00-2023-04-13 20:00,C19-2 or 腾讯会议：398-077-2882,清华大学,https://iiis.tsinghua.edu.cn/show-10365-1.html,2023-04-13 19:00-2023-04-13 20:00,"Despite advances in computer-aided design (CAD) systems and video editing software, digital content creation for design, storytelling, and interactive experiences remains a challenging problem. This talk introduces a series of studies, techniques, and systems along three thrusts that engage creators more directly and enhance the user experience in authoring digital content.
First, we present a drawing dataset and spatiotemporal analysis that provide insight into how people draw by comparing tracing, freehand drawing, and computer-generated approximations. We found a high degree of similarity in stroke placement and types of strokes used over time, which informs methods for customized stroke treatment and emulating drawing processes. We also propose a deep learning-based technique for line drawing synthesis from animated 3D models, where our learned style space and optimization-based embedding enable the generation of line drawing animations while allowing interactive user control across frames.
Second, we demonstrate the importance of utilizing spatial context in the creative process in augmented reality (AR) through two tablet-based interfaces. DistanciAR enables designers to create site-specific AR experiences for remote environments using LiDAR capture and new authoring modes, such as Dollhouse and Peek. PointShopAR integrates point cloud capture and editing in a single AR workflow to help users quickly prototype design ideas in their spatial context. Our user studies show that LiDAR capture and the point cloud representation in these systems can make rapid AR prototyping more accessible and versatile.
Last, we introduce two procedural methods to generate time-based media for visual communication and storytelling. AniCode supports authoring and on-the-fly consumption of personalized animations in a network-free environment via a printed code. CHER-Ob generates video flythroughs for storytelling from annotated heterogeneous 2D and 3D data for cultural heritage. Our user studies show that these methods can benefit the video-oriented digital prototyping experience and facilitate the dissemination of creative and cultural ideas.","Zeyu Wang is an Assistant Professor of Computational Media and Arts (CMA) in the Information Hub at the Hong Kong University of Science and Technology (Guangzhou) and an Affiliate Assistant Professor in the Department of Computer Science and Engineering at the Hong Kong University of Science and Technology. He received a PhD from the Department of Computer Science at Yale University, advised by Profs. Julie Dorsey and Holly Rushmeier, and a BS from the School of Artificial Intelligence at Peking University, advised by Profs. Hongbin Zha and Katsushi Ikeuchi. He has been a research intern at Adobe, Google, and Microsoft.
He leads the Creative Intelligence and Synergy (CIS) Lab at HKUST(GZ) to study the intersection of Computer Graphics, Human-Computer Interaction, and Artificial Intelligence, with a focus on algorithms and systems for digital content creation. His current research topics include sketching, VR/AR/XR, generative techniques, and multimodal creativity, with applications in art, design, perception, and cultural heritage. His work has been recognized by an Adobe Research Fellowship, a Franke Interdisciplinary Research Fellowship, a Best Paper Award, and a Best Demo Honorable Mention Award. Personal Website: https://zachzeyuwang.github.io/"
Towards Autonomous Language Agents,Shunyu Yao Princeton University,2023-04-12 18:00-2023-04-12 19:30,C19-2 (Online：https://us06web.zoom.us/j/89924841514?pwd=WHQ0elp2eWp0YXRzbEJCaUt6YTN0Zz09),清华大学,https://iiis.tsinghua.edu.cn/show-10361-1.html,2023-04-12 18:00-2023-04-12 19:30,"Large language models have revolutionized natural language processing, but they are trained to write, not to act or make choices that interface with our world. This talk discusses two basic aspects for incorporating language models with the automacy of interacting with external environments, to learn beyond static corpora and accomplish goals beyond text generation. (1) Building environments to develop language agents. We present the WebShop benchmark, and show interaction with the Internet is more scalable than existing paradigms like games and dialog systems, and enables transfer to real-world tasks, e.g. shopping on amazon.com. (2) Adapting language models for interactive learning. We present ReAct, an idea to synergize reasoning and acting for language models, which achieve state-of-the-art few-shot results on multiple reasoning and sequential decision making problems, with reduced hallucinations and increased human alignment. We also present CALM, an idea to integrate language models with reinforcement learning agents to flexibly adapt to downstream tasks, while preserving pre-trained priors and avoiding language drift.","Shunyu Yao is a 4th year Phd student with Karthik Narasimhan at Princeton NLP Group, working at the intersection of language and reinforcement learning. Previously, he graduated from Yao Class at Tsinghua University, and spent time at MIT, Microsoft, IBM, and Google as interns."
"Sequential generalized measurements: Aysmptotics, typicality and emergent projective measurements",WenLong Ma Institute of Semiconductors Chinese Academy of Sciences,2023-04-07 14:00-2023-04-07 15:00,MMW-S327,清华大学,https://iiis.tsinghua.edu.cn/show-10363-1.html,2023-04-07 14:00-2023-04-07 15:00,"The relation between projective measurements and generalized quantum measurements is a fundamental problem in quantum physics, and clarifying this issue is also important to quantum technologies. While it has been intuitively known that projective measurements can be constructed from sequential generalized or weak measurements [1, 2], there is still lack of a proof of this hypothesis in general cases. Here we prove it from the perspective of quantum channels [3]. We show that projective measurements naturally arise from sequential generalized measurements in the asymptotic limit. Specifically, a selective projective measurement arises from a set of typical sequences of sequential generalized measurements. We provide an explicit scheme to construct projective measurements of a quantum system with sequential generalized quantum measurements. Remarkably, a single ancilla qubit is sufficient to mediate sequential generalized measurements for constructing arbitrary projective measurements of a generic system, which can have applications in readout, initialization, and feedback control of a quantum system. As an example, we present a protocol to measure the modular excitation numbers of a bosonic mode with an ancilla qubit, which are exactly the error syndromes of rotation-symmetric bosonic quantum error correction codes.
References:

Wen-Long Ma, Ping Wang, Weng-Hang Leong, Ren-Bao Liu*, Phys. Rev. A 98, 012117 (2018).
Gang-Qin Liu, Jian Xing, Wen-Long Ma, Ping Wang, Chang-Hao Li, Hoi Chun Po, Yu-Ran Zhang, Heng Fan, Ren-Bao Liu, Xinyu Pan*, Phys. Rev. Lett. 118, 150504 (2017).
Wen-Long Ma*, Shu-Shen Li, Ren-Bao Liu, Phys. Rev. A 107, 012217 (2023).","马稳龙，现为中国科学院半导体所研究员、博士生导师，中国科学院大学岗位教授。2015年在中科院半导体所获得博士学位，2015年2020年先后在香港中文大学、耶鲁大学和芝加哥大学从事博士后研究, 随后加入中科院半导体所超晶格国家重点实验室，并入选国家高层次人才引进计划青年项目。研究领域为固态量子信息理论，在量子退相干、量子控制、量子纠错和量子测量等领域取得了一系列创新成果，在包括PRL的PR系列, Nature Physics, Nature Communications等期刊上发表文章二十余篇。"
How AI techniques boost 3D Reconstruction in Industry,"Jingwei Huang Riemann Lab, 2012 Laboratories of Huawei",2023-03-28 16:00-2023-03-28 17:00,FIT 1-222 or Tencent Meeting：https://meeting.tencent.com/dw/Ve9l9UUgGj6J,清华大学,https://iiis.tsinghua.edu.cn/show-10352-1.html,2023-03-28 16:00-2023-03-28 17:00,"3D reconstruction is a fundamental problem for industry digitization. While this topic is researched for decades, several core challenges remain unsolvable when applying 3D reconstruction to industrial applications. With the recent development of AI algorithms, there are many new opportunities to push the technique forward to tackle these challenges. In this presentation, we aim to expose real-world challenges, discuss about how AI boosts our solutions, and propose potential directions for addressing these challenges. Specifically, we will introduce our solutions for Scan2CAD modeling and realistic appearance reconstruction.","Jingwei Huang is a research scientist and project leader at Riemann Lab, 2012 Laboratories of Huawei. Before that, he received a Ph.D. in Computer Science (2020) from Stanford University, USA. His research interests lie at the interface of 3D computer vision, computer graphics, and geometry processing. His passion is harnessing the power of modern deep learning and traditional geometry processing algorithms to automate 3D holistic reconstruction of the large-scale real environment."
双层扭转光晶格中的原子玻色爱因斯坦凝聚,Jing Zhang ShanXi University,2023-03-24 14:00-2023-03-24 15:00,MMW S327,清华大学,https://iiis.tsinghua.edu.cn/show-10354-1.html,2023-03-24 14:00-2023-03-24 15:00,"在凝聚态物理领域，扭曲的双层石墨烯材料中已观察到强关联和超导性，诞生了一个全新的研究领域：扭转电子学，激发了对其基础和应用物理方面的极大兴趣。在该系统中，两个单层蜂窝状石墨烯材料以小角度扭曲叠加，会产生莫尔条纹，从而产生平坦电子能带、慢电子速度和高的态密度等独特特性。本工作是在一个超冷原子量子模拟平台上实现和研究了扭曲双层方型晶格中的超流体，该工作基于自旋依赖光学晶格中的玻色-爱因斯坦凝聚，每个自旋态的原子只感受到一组晶格，层间耦合可以通过自旋态之间的微波耦合来控制。此外，还直接观察到实空间的莫尔条纹和动量空间的衍射，证实了双层晶格中存在原子超流体。该系统集成扭转双层结构、可调的莫尔超晶格和层间耦合强度以及纯净的环境等特性，通过这一强大的超冷原子量子模拟平台，可将用于模拟扭曲双层石墨烯，研究其强关联和超导电性的基础物理。在这一新体系中，进一步可以通过丰富的调控手段如光晶格的结构、玻色费米混合系统、高轨道的自由度等来深入研究平带以及超导特性等诸多科学问题，以及探索其它难以在材料中实现的新奇量子现象。
Reference: Zengming Meng, Liangwei Wang, Wei Han, Fangde Liu, Kai Wen, Chao Gao, Pengjun Wang, Cheng Chin, Jing Zhang ""Atomic Bose-Einstein condensate in a twisted-bilayer optical lattice “Nature 615, 231 (2023))。",张靖，男，1974年1月生，山西大学光电所所长和量子光学与光量子器件国家重点实验室主任，国家杰出青年基金获得者、长江学者特聘教授、国家重点研发计划项目首席科学家、国家基金委创新群体带头人、国家杰出专业技术人才、美国光学学会会士（OSA Fellow）、美国物理学会会士（APS Fellow）。在连续变量量子信息和量子气体领域，特别是在自旋-轨道耦合简并费米气体中做出系列有国际影响的研究工作。主持的基于超冷费米气体的量子调控获2020年度国家自然科学奖二等奖。入选第二届“科学探索奖”，荣获“全国五一劳动奖章”称号， “全省优秀共产党员”荣誉称号。
Architecture and parameter optimization for quantum algorithms,Shi-Xin Zhang Tencent Quantum Lab,2023-03-23 19:15-2023-03-23 20:15,MMW S727 or Tencent Meeting：482-723-802 password: 1984,清华大学,https://iiis.tsinghua.edu.cn/show-10357-1.html,2023-03-23 19:15-2023-03-23 20:15,"In the noisy intermediate-scale quantum era (NISQ), we are likely to achieve practical quantum advantage using near-term programmable quantum hardware. We focus on the variational quantum algorithm paradigm and make progress in circuit structure design automation and circuit parameter optimization. In this talk, I will discuss how to design quantum circuit structures by various quantum architecture search methods and how to accelerate variational quantum algorithms training by novel optimization strategies. Besides, I will also introduce the high-performance quantum software framework for the NISQ era – TensorCircuit, which supports these research works by efficient numerical simulation and powerful quantum hardware connection. These works together pave the way to better understanding and investigating the power of NISQ devices.","Shi-Xin Zhang is currently a senior research scientist at Tencent Quantum Lab. He obtained his PhD in physics from Institute for Advanced Study, Tsinghua University, in 2021, supervised by Prof. Hong Yao. He graduated with an outstanding PhD and outstanding thesis award at Tsinghua University. Before this, he obtained his bachelor’s degree in physics from the Department of Physics at Tsinghua University in 2016. His main research interests include quantum algorithm design, quantum non-equilibrium physics, quantum simulation, quantum software, and machine learning application in quantum physics."
Reducing the Ever-growing Cost of Large-Scale Machine Learning Services,Binhang Yuan,2023-03-01 18:00-2023-03-01 19:30,FIT Building，Room 1-222 + Zoom Meeting: 895 3056 1898 （passcode：962687）,清华大学,https://iiis.tsinghua.edu.cn/show-10350-1.html,2023-03-01 18:00-2023-03-01 19:30,"The recent success of machine learning (ML) has dramatically benefited from the exponential growth of ML model capacity. However, the enormous capacity of ML models also leads to a significantly higher cost. In practice, the high cost of ML comes from three sources: i) the cost of optimizing/deploying ML services over the ever-changing hardware; ii) the low utilization of the hardware due to parallel/distributed communication overhead; and iii) the high cost of accessing the hardware. 
 
My work attempts to reduce the cost in all three categories above: Developing and deploying ML workflows in ever-changing execution environments is a tedious and time-consuming job and would require a significant amount of engineering effort to scale out the computation; my work proposes new abstractions for ML system design and implementation with expressivity, easy optimization, and high performance. In parallel/distributed ML training, communication is usually the main bottleneck that restricts hardware efficiency; my work explores system relaxations of communications under different parallel ML training paradigms to increase hardware efficiency without compromising their statistical efficiency. Given the advances in system optimization and relaxation, my work further investigates how to deploy the ML service over a decentralized open collective environment consisting of much cheaper and underutilized decentralized GPUs; the result is promising: when the decentralized interconnections are 100X slower than the data center network, under efficient scheduling, the end-to-end training throughput is only 1.7~3.5X slower than the state-of-the-art solutions inside a data center.",Binhang Yuan is a postdoc research scientist in the Department of Computer Science at ETH Zurich under the supervision of Dr. Ce Zhang. He received his Bachelor of Science (2013) in Computer Science from Fudan University and his Master of Science (2016) and Ph.D. (2020)
Query Complexity of Least Absolute Deviation Regression via Robust Uniform Convergence,Xue Chen,2023-02-24 16:00-2023-02-24 17:00,FIT 1-222 + Tencent Meeting（ID：891-892-817）,清华大学,https://iiis.tsinghua.edu.cn/show-10348-1.html,2023-02-24 16:00-2023-02-24 17:00,"Consider a regression problem where the learner is given a large collection of d-dimensional data points but can only query a small subset of the real-valued labels. How many queries are needed to obtain a 1+ϵ relative error approximation of the optimum? While this problem has been extensively studied for least squares regression, little is known for other losses. An important example is least absolute deviation regression (ℓ1 regression) which enjoys superior robustness to outliers compared to least squares. We develop a new framework for analyzing importance sampling methods in regression problems, which enables us to show that the query complexity of least absolute deviation regression is Θ(d/ϵ^2) up to logarithmic factors. We further extend our techniques to show the first bounds on the query complexity for any ℓp loss with p∈(1,2).
 
As a key novelty in our analysis, we introduce the notion of robust uniform convergence, which is a new approximation guarantee for the empirical loss. While it is inspired by uniform convergence in statistical learning, our approach additionally incorporates a correction term to avoid unnecessary variance due to outliers. This can be viewed as a new connection between statistical learning theory and variance reduction techniques in stochastic optimization, which should be of independent interest.
 
Based on join work with Michal Derezinski (University of Michigan).","Xue Chen is a faculty member in the school of computer science of University of Science and Technology of China. He received a BS from the Yao Class in Tsinghua University and a PhD from the University of Texas at Austin. He was a postdoc in Northwestern University (USA). His research focus esprimarily on randomized algorithms. Specific areas include fast Fourier transform, big-data algorithms, learning theory, pseudo random-generators, coding theory, and cryptography."
From the breakdown of topological quantum memory to mixed-state topological order,Ruihua Fan,2023-02-23 10:00-2023-02-23 11:00,MMW S327+Tencent Meeting: 768-858-315 (ps:1984),清华大学,https://iiis.tsinghua.edu.cn/show-10345-1.html,2023-02-23 10:00-2023-02-23 11:00,"Topological quantum memory can protect information against local errors up to finite error thresholds. Such thresholds are usually determined via the decoding algorithms rather than the intrinsic properties of the mixed states describing corrupted memories. Such properties should be naturally related to the concept of topological order in mixed states. In this talk, I will discuss three information-theoretical diagnostics, the topological entanglement negativity and two other metrics based on quantum relative entropy and coherent information. In the concrete example of the 2D Toric code with local bit-flip and phase errors, we show they all undergo a transition at the same error threshold. This threshold is an upper bound on that achieved in any decoding algorithm and is indeed saturated by that in the optimal decoding algorithm for the Toric code. Time permitted, I will also discuss a so-called error-field double formalism, that provides a more general perspective by mapping the error-induced phases to boundary anyon condensation.","Before starting his PhD, Ruihua Fan did his undergrad research at Prof. Hui Zhai's group at IASTU. Currently, he is a graduate student in Prof Ashvin Vishwanath's group at Harvard University, studying condensed matter physics."
"Algorithms for simulating thermal quantum many-body systems: quantum computation, tensor networks and neural networks",陆思锐 德国马克斯普朗克量子光学所,2023-02-22 16:00-2023-02-22 17:00,"FIT 1-222, FIT Building",清华大学,https://iiis.tsinghua.edu.cn/show-10341-1.html,2023-02-22 16:00-2023-02-22 17:00,"Simulation of quantum many-body systems is extremely challenging, as computational resources (time, memory) grow exponentially with system size. In this talk, I will introduce one classical and one quantum algorithm to determine the finite energy and finite temperature properties of quantum many-body systems. Both algorithms rely on the Markov chain Monte Carlo, an effective method to explore high-dimensional spaces. The classical one seeks to minimize the free energy of a variational state and avoids the error accumulation problem associated with the imaginary time evolution method. The quantum one uses the quantum computer or quantum simulator as a subroutine for the Monte Carlo sampling and avoids the so-called sign problem of the quantum Monte Carlo method.","Sirui Lu is a graduate student under the supervision of Prof. Ignacio Cirac at the Max-Planck Institute of Quantum Optics, Germany. He obtained his Bachelor of Science in Physics from Tsinghua University in 2019. His research interests are quantum computation and quantum machine learning."
QoS-Aware Resource Management in the Cloud: From Academia to Industry,陈爽,2023-02-21 16:00-2023-02-21 17:00,"FIT 1-222, FIT Building",清华大学,https://iiis.tsinghua.edu.cn/show-10335-1.html,2023-02-21 16:00-2023-02-21 17:00,"Most cloud facilities operate at very low utilization. Naive colocation of more workloads on the same server node leads to severe quality-of-service (QoS) degradation of cloud services. It is challenging to precisely and intelligently manage hardware resources, to improve resource efficiency and provide QoS guarantee at the same time.
 
In the first part of the talk, I'll briefly introduce two of my academic solutions to this problem. PARTIES (ASPLOS'19) and ReTail (HPCA'22) are two QoS-aware hardware resource managers that allow more aggressive colocation, and enable more fine-grained power management in the cloud. Then, I'll switch to an industrial perspective, and comment on these two solutions after working in industry for almost 2 years. Finally, I will talk about more open questions to practically improve resource efficiency, including unique challenges in public cloud, and opportunities in hardware design.",陈爽，华为云竖亥Lab软硬协同技术专家，华为“天才少年”。工作与研究方向包括云中的workload分析、QoS优化、云中软硬协同优化。2021年获得美国康奈尔大学计算机工程博士学位，在ASPLOS、HPCA、SIGMOD等顶级学术会议中以一作身份发表了多篇学术论文。
Universal KPZ scaling in noisy hybrid quantum circuits,刘铄 清华大学,2023-02-15 19:15-2023-02-15 20:15,Tencent Meeting: 999 663 621 (ps:1984)+MMW S327,清华大学,https://iiis.tsinghua.edu.cn/show-10337-1.html,2023-02-15 19:15-2023-02-15 20:15,"Measurement-induced phase transitions (MIPT) have attracted increasing attention due to the rich phenomenology of entanglement structures and their relation with quantum information processing. Since physical systems are unavoidably coupled to the environment, quantum noise, which can qualitatively modify or even destroy certain entanglement structures, needs to be considered in analyzing a system with MIPT. We investigate the effect of quantum noise modeled by a reset quantum channel acting on each site with a probability q on MIPT. Based on the numerical results from Clifford circuits, we show that the quantum noise can qualitatively change the entanglement properties - the entanglement obeys “area law” instead of “volume law” with a measurement rate p < pc. In the quantum noise-induced “area law” phase, the entanglement exhibits a novel q−1/3 power-law scaling. Using an analytic mapping from the quantum model to a classical statistical model, we further show that the “area law” entanglement is the consequence of the noise-driven symmetry-breaking field and the q−1/3 scaling can be understood as the result of Kardar-Parisi-Zhang (KPZ) fluctuations of the directed polymer with an effective length scale Leff ∼ q−1 in a random environment.",刘铄是清华大学高等研究院三年级博士生，导师为姚宏教授。刘铄2020年毕业于北京师范大学物理学系，获得学士学位。研究方向包括量子多体系统和非平衡物理中的新奇现象。
LHCb实验电磁量能器升级的研发工作,安刘攀 CERN Fellow,2022-12-29 10:00-2022-12-29 11:00,Tencent Meeting ID: 746 492 5470,清华大学,https://iiis.tsinghua.edu.cn/show-9980-1.html,2022-12-29 10:00-2022-12-29 11:00,"The performance of Electromagnetic Calorimeter is important for physics studies involving neutrals and electrons. To cope with the large luminosity to be operated at during high-luminosity LHC and sustain radiation doses up to 1 MGy, a major upgrade of ECAL is needed. A baseline strategy is proposed to combine the existing Shashlik technology in outer region with a so-called Spaghetti Calorimeter (SPACAL) technology in the central region. The latest performance measurements of the SPACAL and Shashlik prototypes with testbeam and simulation studies of the Upgrade ECAL setup will be presented in the talk.",Liupan An received her PhD in high energy physics from Tsinghua University in 2018. Then she successively won the INFN PostDoc fellowship in 2018 and CERN senior research fellowship in 2020. She is a member of the LHCb experiment and convener of the B-hadron and Quarkonia working group at LHCb. Her research interests are mainly on heavy flavour hadron spectroscopy and production. She has also joined the LHCb ECAL Upgrade efforts since 2020.
On the Safety and Generalizability of Trustworthy Intelligent Autonomy,Ding Zhao CMU,2022-12-23 13:00-2022-12-23 14:00,Tencent Meeting ID: 320-328-433,清华大学,https://iiis.tsinghua.edu.cn/show-9977-1.html,2022-12-23 13:00-2022-12-23 14:00,"As machine learning has started to shift towards deployment in the physical world, its rapid development is coupled with as much risk as benefits. In this talk, I will discuss two key aspects of developing trustworthy autonomy: generalizability and safety. I will introduce our recent progress in both mathematical foundations and real-world applications. I will also share the lessons we learned and our outlook for future research directions.","Ding Zhao is currently an assistant professor in the Department of Mechanical Engineering at Carnegie Mellon University, with affiliations at the Computer Science Department, Robotics Institute, and CyLab on Security and Privacy. Directing the CMU Safe AI Lab, his research focuses on the theoretical and practical aspects of safely deploying AI to safety-critical applications, including self-driving, assistant robots, healthcare diagnosis, and cybersecurity. He is the recipient of the National Science Foundation CAREER Award, CMU George Tallman Ladd Research Award, MIT Technology Review 35 under 35 Award in China, Ford University Collaboration Award, Carnegie-Bosch Research Award, Struminger Teaching Award, and many industrial fellowship awards. He worked with leading industrial partners, including Google, Apple, Ford, Uber, IBM, Adobe, Bosch, Toyota, and Rolls-Royce. He is a visiting researcher in the Robotics Team at Google Brain."
