讲座标题,报告人,时间,地点,大学,通知全文链接,通知发布时间,通知内容,报告人简介
教学报告：一流课程建设的探索与实践,报告人：朱士信教授 合肥工业大学,2023-03-24,地点：华南农业大学数学与信息学院201会议室,华南农业大学,https://info.scau.edu.cn/2023/0316/c12892a338937/page.htm,2023-03-16,摘要：围绕一流的课堂教学、一流的教学研究、一流的教学研究成果、一流的教学团队、一流的教材建设、一流的青年教师培养制度、一流的课程思政教学等要点展开交流讨论，分享一流课程的建设经验。,"个人简介：朱士信，合肥工业大学“斛兵学者”、国家级教学名师暨首届国家万人计划教学名师、享受国务院特殊贡献津贴专家,安徽省政府参事、国家大学数学教学指导委员会委员、中国密码学会监事、安徽省数学会副理事长、国防科技大学兼职教授。"
学术报告：高通量测序数据压缩及标准化,报告人：朱泽轩教授 深圳大学,2023-03-04,地点：华南农业大学数学与信息学院520会议室,华南农业大学,https://info.scau.edu.cn/2023/0302/c12892a337254/page.htm,2023-03-02,摘要：高通量测序技术的快速发展改变了人类研究生命蓝图的方式也带来了爆炸式增长的测序数据，目前数据存储和传输是亟需解决的问题，压缩技术是解决该问题的有效手段，本报告主要介绍高通量测序数据压缩技术的发展现状，针对高通量测序数据，分别提出基于参考基因组和自组装压缩方法，实现基于压缩数据结构的序列比对加速算法，并对基因测序数据压缩技术的标准化及未来的发展方向进行讨论和展望。,"个人简介：朱泽轩，博士，教授。2008年获得新加坡南洋理工大学计算机工程博士学位，2009年加入深圳大学计算机与软件学院历任讲师、副教授、教授。主要从事计算智能、生物信息学等领域的研究工作。担任大数据系统计算技术国家工程实验室副主任、中国数字音视频编解码技术标准工作组(AVS)基因压缩专题组长、国际期刊IEEE TEVC、IEEE TETCI副主编；主持国家重点研发计划课题、国家自然科学基金项目多项，在IEEE TEVC, CYB, SMCB, TNNLS, Bioinformatic等期刊和会议上发表论文多篇。"
学术报告：Turing patterns in a predator-prey reaction-diffusion model with seasonality and fear effect,报告人： 王其如教授 中山大学 ,2022-11-03,#腾讯会议：445-825-220,华南农业大学,https://info.scau.edu.cn/2022/1102/c12892a330219/page.htm,2022-11-02,"摘要：In this talk, we study a predator-prey reaction-diffusion model with seasonality and fear effect. In this model, the predator species reproduces only at a certain time of each year. We calculate the steady states of the system and study their stabilities, then we derive the conditions for Turing instability to occur. Numerical simulations show that (i) spatial patterns can emerge for Beddington-DeAngelis functional response; (ii) the system can have oscillatory behavior for both linear functional response and Beddington-DeAngelis functional response.",报告人简介：王其如，中山大学数学学院教授、博士研究生导师，中国工业与应用数学学会理事、数学与国防创新委员会委员，广东省和广州工业与应用数学学会理事长、党支部书记。从事微分方程与动力系统、数学建模等方面的研究及应用，主持完成国家自然科学基金面上项目4项、在研1项，在国内外学术期刊Nonlinear Anal. Real World Appl.、J. Differential Equations、Discrete Contin. Dyn. Syst.、Fract. Calc. Appl. Anal.、Commun. Nonlinear Sci. Numer. Simul.、中国科学数学（中、英文版）等发表相关学术论文120 余篇。是德国《数学文摘》和美国《数学评论》的评论员等。
学术报告：国家自然科学基金申请交流,报告人：段海滨教授 北京航空航天大学,2022-11-02,地点：腾讯会议：517 960 805，会议密码：1102,华南农业大学,https://info.scau.edu.cn/2022/1102/c12892a330206/page.htm,2022-11-02,报告简介：报告将讲述申请国家自然科学基金的主要事项，以及国家自然科学基金评审过程中的关键要素，特别是在基金选题、科学问题提炼、研究基础撰写等方面进行交流分享。,"报告人简介：段海滨，北京航空航天大学长聘教授、博士生导师，国家杰出青年科学基金获得者，“万人计划”-科技创新领军人才、首批青年拔尖人才。主要从事无人机集群仿生自主控制研究。主持国家自然科学基金重大研究计划重点项目、国家自然科学基金企业创新联合基金重点项目、国家自然科学基金重点项目、国家杰出青年科学基金等课题。发表SCI论文70余篇，专著4部，发明专利32项，2020年、2021年爱思唯尔中国高被引学者，获中国航空学会科学技术一等奖、吴文俊人工智能科技创新一等奖、CAA技术发明一等奖、国防技术发明二等奖、国防科技进步二等奖(均排名1)，高等教育国家级教学成果二等奖(排名2)。中国青年科技奖、全国优秀科技工作者、中国青年五四奖章、茅以升北京青年科技奖、中国自动化学会首届青年科学家奖、杨家墀科技奖、冯如航空科技精英奖。《Guidance, Navigation and Control》创刊主编、《IEEE Trans Cybernetics》编委，IFAC TC 7.5委员、中国自动化学会无人飞行器自主控制专业委员会主任、中国航空学会制导导航与控制分会主任。担任中国科协全国首席科学传播专家，第十二届、第十三届全国青联常委兼科学技术界别副主任委员。"
学术报告：人工智能赋能元宇宙,报告人：罗笑南教授 桂林电子科技大学,2022-11-02,地点：腾讯会议：517 960 805，会议密码：1102,华南农业大学,https://info.scau.edu.cn/2022/1102/c12892a330204/page.htm,2022-11-02,报告简介：报告将介绍元宇宙的概念及发展，介绍元宇宙的技术底座，分析元宇宙的伦理、最新发展现状和挑战，并对产业元宇宙中2d、3d服装设计与仿真关键技术进行介绍。,报告人简介：罗笑南，教授，博导，国家杰出青年科学基金获得者；广西壮族自治区八桂学者获得者。罗教授获国家科技进步二等奖，广东省丁颖科技奖，广东省科技进步奖一等奖，享受国务院颁发的政府特殊津贴，现为家数字家庭工程技术研究中心执行主任，中山大学学术委员会委员，中国电子工业标准化技术协会数字家庭互动应用标准工作委员会。成功策划国家数字家庭工程技术研究中心、中山大学深圳研究院、桂林智慧产业园孵化中心、军民融合科技园等六个实验基地。主要研究方向是人工智能、数字家庭技术、移动计算、图形图象处理及三维仿真CAD技术。主持和承担核高基重大专项、国家科技支撑计划、国家杰出青年科学基金项目、国家自然科学（重点）基金、海外或港、澳青年学者合作研究基金、973、863等科研项目40余项。已在ACM、IEEE Transactions、Siggraph、EuroGraphics、CAD等重要学术期刊会议上发表论文200余篇，获授权国家发明专利200余项，申请PCT专利9项、获软件著作权20项，软件产品登记18项。主导制订国家标准2项、行业标准4项、地方标准23项（15项已发布）。
学术报告：高效求解聚类问题的坐标下降法,报告人：聂飞平教授 西北工业大学,2022-11-02,地点：腾讯会议：517 960 805，会议密码：1102,华南农业大学,https://info.scau.edu.cn/2022/1102/c12892a330202/page.htm,2022-11-02,报告简介：设计一个好的聚类模型和好的优化方法对于聚类任务来说同样重要。k-means和谱聚类作为两种十分流行的聚类模型，相关研究受到广泛关注。在本报告中，将介绍一种快速的坐标下降法，并将其用于求解k-means聚类和谱聚类优化问题。对于k-means模型，相比原始的Lloyd优化方法，这种坐标下降法能够找到更好的解，收敛更快，并且对初始化更鲁棒。通过严格的证明发现，虽然坐标下降法能提升Lloyd方法所得到的解，但是Lloyd方法一定不能提升坐标下降法所得到的解。此外，虽然Lloyd方法经常会产生空类，但是坐标下降法在求解过程中一定不会产生空类。对于谱聚类模型，这种坐标下降法可以直接求解原始优化问题，不需要松弛和离散这两个步骤，因此可以得到更好的解，并且计算复杂度更低。,报告人简介：聂飞平，西北工业大学教授、博士生导师，国家万人计划领军人才。主要研究兴趣为机器学习理论和方法，并用来解决实际的应用问题。在相关领域已发表系列论文，其中影响因子大于10的一区期刊论文100余篇，IEEE/ACM汇刊论文100余篇，CCF A类会议长文100余篇。论文被引用30000余次，H指数96。入选科睿唯安“全球高被引科学家”，爱思唯尔“中国高被引学者”等榜单。
学术报告：极少数投影角度下的三维物体密度重建研究,报告人：许海波研究员 北京应用物理与计算数学研究所,2022-11-03,#腾讯会议：465-317-287会议密码：8528,华南农业大学,https://info.scau.edu.cn/2022/1029/c12892a328604/page.htm,2022-10-29,摘要：对于高速运动物体（如弹体运动、炸药爆炸、破甲射流等）的诊断是国防工业领域十分重要的研究课题。由于测量条件的限制，很难获得多个方向的投影数据。因此，极少数投影角度下的图像三维重建方法是亟待解决的关键问题。为了解决这些问题，本文提出了基于组稀疏和卷积稀疏的全变分正则化模型，并引入到极少数投影角度下的密度重建中。该方法直接处理整幅图像，不需要像传统的基于字典学习的方法那样将图像分割成重叠的图像块，可以保留更多的细节，避免了图像块聚合带来的伪效应。实验结果表明，该方法在定性和定量方面均优于现有的密度重建算法。,报告人简介：许海波，中国工程物理研究院北京应用物理与计算数学研究所，研究员，博士生导师，国家科技人才奖项评审专家。1966年生，1986年毕业于北京师范大学，2001年在中国工程物理研究院研究生院获理学博士学位。长期从事高能粒子照相与图像处理研究，承担国防科技重点研究项目和国家自然科学基金多项。发表学术论文100余篇，有关成果获得国家科技进步二等奖1项、军队科技进步一等奖3项、二等奖1项、三等奖1项。
报告题目：高校教师教学能力提升与比赛经验交流,报告人：夏宝君副教授，华南师范大学,2022-11-02,#腾讯会议：612-660-985?会议密码：8528???,华南农业大学,https://info.scau.edu.cn/2022/1027/c12892a328472/page.htm,2022-10-27,报告内容：1、高校教学比赛相关文件及规则解读 ；2、课程建设要点解析 ；3、教学比赛经验体会；4、提问与交流,报告人介绍：夏宝君，博士，华南师范大学副教授、硕士生导师，新闻传播系副主任，教学名师，广东省南粤优秀教师。主要从事新闻传播专业教学、科研工作，主持、参与多项国家级、省部级科研及教学项目，主持国家级一流本科课程、广东省级一流本科课程《公共关系》。获首届全国高校教师教学创新大赛一等奖、广东省第五届高校（本科）青年教师教学大赛一等奖、广东省高校教师教学创新大赛特等奖。
学术报告：QR algorithm with two-sided Rayleigh quotient shifts,报告人：陈小山教授 华南师范大学,2022-10-31,#腾讯会议：243-698-970,华南农业大学,https://info.scau.edu.cn/2022/1026/c12892a328393/page.htm,2022-10-26,,"报告人简介：陈小山，华南师范大学数学科学学院教授，博导。主要从事数值线性代数及其应用方面的研究工作，主持一项国家自然科学基金和二项省自然科学基金。2012年获广东省自然科学技术奖二等奖（排名第三）。在《Numersche Mathematik》,《SIAM J. Matrix Anal. Appl.》，《Numer. Linear Albebra Appl.》,《BIT Numer. Math.》和《Linear Algebra Appl.》等国际知名期刊上发表论文40多篇。"
学术报告：多视角子空间聚类的张量优化模型,报告人：黎稳教授 华南师范大学,2022-10-31,#腾讯会议：243-698-970,华南农业大学,https://info.scau.edu.cn/2022/1026/c12892a328391/page.htm,2022-10-26,摘要：多视角子空间聚类是基于数据集的多视角特征划分为相关子空间，已被广泛应用于识别数据集的各种特征。为了解决和提高鲁棒性和聚类性能，我们利用MCP函数建立新的非凸多角子空间聚类模型，该模型可以在统一的框架内同时构造低秩表示张量和亲和矩阵。然后我们提出了相应的迭代算法来求解所提出的模型，讨论了相应的收敛分析。大量应用数值例子说明了我们所提出的方法的有效性。,报告人简介：黎稳，华南师范大学二级教授。中国数学会理事，曾任中国计算数学会理事。研究方向：数值代数、张量计算及其应用。主持五项国家自然科学基金面上项目，作为核心成员参与国家自然科学基金重大项目一项。在著名学术刊物 Numer Math、SIAM J Optim、SIAM J Matrix Anal Appl、SIAM J Imaging Sci、Inverse Problems、IEEE Ttrans. Signal Proc.、J Sci Comput和Pattern Recognition等发表学术论文多篇。研究成果两次获广东省科学技术奖自然科学奖二等奖（排名第一）。
学术报告：A weighted method for the exclusive hypothesis test with application to typhoon data,报告人：童行伟教授 北京师范大学,2022-10-31,地点：数信学院数学系205,华南农业大学,https://info.scau.edu.cn/2022/1025/c12892a328153/page.htm,2022-10-25,"摘要:Motivated by the testing of genetic pleiotropy, we discuss a general class of hypothesis testing, the exclusive hypothesis test (EHT). A hypothesis test is EHT if the null hypothesis can be divided into a set of exclusive sub-hypotheses, and a main difficulty for testing an EHT is the calculation of the p-value. To address this problem, we propose a weighted procedure and develop two methods, one likelihood-based and the other BIC-based, for determining the corresponding weights. Furthermore, we show that the BIC-based method can control the asymptotic type I error. We conduct an extensive simulation study of these two proposed methods, which suggests that they work well in practice. In particular, the new procedure is shown both theoretically and numerically to exhibit better performance than the existing two-stage decision rule for testing genetic pleiotropy. Our proposed methodology is then applied to a set of data concerning tropical storms.",报告人简介：童行伟，北京师范大学统计学院教授，博士生导师，数理统计系系主任，广东省教育心理与大数据技术重点实验室主任。主要从事生物统计，金融统计等方向的研究。曾任中国现场统计研究会常务理事，概率统计学会常务理事；主持一项科技部重点研发计划子课题，主持国家自然科学基金面上项目3项，教育部重大科研项目1项，目前发表SCI学术论文近50篇。
学术报告：面向计算机学科的代数、数论与算法,报告人：王立斌副教授 华南师范大学,2022-10-27,腾讯会议号：580-981-884,华南农业大学,https://info.scau.edu.cn/2022/1025/c12892a328157/page.htm,2022-10-24,摘要:数论和代数贯穿了计算机及相关专业课程教学的整个流程，通过介绍一门面向IT类专业本科生的课程：数论与代数的具体导论，结合课程目标、特色、内容与授课模式，以若干授课案例及应用例子来阐述对专业建设的支持。最后进行课程建设相关讨论。,报告人简介：王立斌，男，毕业于上海交通大学，博士，华南师范大学计算机学院副教授，硕士导师。从事密码学与网络安全的基础理论研究，研究兴趣包括：协议安全模型、可证明安全的密码理论与技术等。近年来重点关注后量子安全的密码协议的分析与设计。
学术报告：A new GJR-GARCH model for ?-valued time series,报告人：朱复康教授 吉林大学,2022-10-26,#腾讯会议：186-298-456,华南农业大学,https://info.scau.edu.cn/2022/1025/c12892a328148/page.htm,2022-10-24,"摘要:The Glosten–Jagannathan–Runkle GARCH (GJR-GARCH) model is popular in accounting for asymmetric responses in the volatility in the analysis of continuous-valued financial time series, but asymmetric responses in the volatility are also observed in time series of counts or ?-valued time series, such as the daily number of stock transactions or the daily stock returns divided by tick price (1 cent). Two different integer-valued GARCH models based on Poisson distribution have been proposed for these two types of discrete data respectively. Shifted geometric distribution is more flexible than Poisson distribution, whose variance is greater than its mean. In this article, we propose a GJR-GARCH model based on shifted geometric distribution for ?-valued time series exhibiting asymmetric volatility. Basic probabilistic properties of the new model are given, and the maximum likelihood method is used to estimate unknown parameters and the asymptotic normality of corresponding estimators is established. A simulation study is presented to illustrate the estimation method. An empirical application to a real data concerning the daily stock returns divided by tick price is considered to show the proposed model’s superiority compared with",报告人简介：朱复康，吉林大学数学学院教授、博士生导师，吉林国家应用数学中心副主任、概率统计与数据科学系主任。2008年博士毕业，2013年破格晋升教授，2021年被聘为“唐敖庆学者”领军教授B岗。主要从事时间序列分析和金融统计的研究，已经在Annals of Applied Statistics、Journal of Business &amp; Economic Statistics、Statistica Sinica等期刊上发表论文50余篇，其中入选ESI前1%高被引论文2篇。主持国家自然科学基金面上项目3项和青年基金1项，曾获得教育部自然科学奖二等奖、吉林省科学技术奖二等奖等科研奖励。现任中国现场统计研究会、中国数学会概率统计学会等学会的理事或常务理事，是JRSSB、JBES、AoAS等70余个SCI期刊的匿名审稿人。
