讲座标题,报告人,时间,地点,大学,通知全文链接,通知发布时间,通知内容,报告人简介
Evaluating the Security of Anonymized Big Graph/Structural Data,"Shouling Ji (Overseas Talents, Ph.D. in Georgia Tech )",2015-09-07,"Room 3224 (Building No.3, Jingxiang Park) ",信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201509/t20150906_306659.html,none,"In this talk, we first summarize and discuss state-of-the-art graph anonymization techniques and de-anonymization attacks, and introduce the de-anonymization attacks presented by us. Subsequently, we study the theoretical foundation for the success of existing de-anonymization attacks along with large-scale evaluations on real-world graph data. Third, we propose, design, and implement SecGraph, a uniform and open-source Secure Graph data sharing/publishing system. Finally, we will discuss some future research directions.","Shouling Ji is a Ph.D. candidate in the School of Electrical and Computer Engineering at Georgia Institute of Technology (Georgia Tech). He is expected to graduate in Fall 2015 and then be a Research Faculty at Georgia Tech. He received his first Ph.D. degree from the Department of Computer Science at Georgia State University in 2013. Shouling Ji’s current research interests include Big Data Security and Privacy, Differential Privacy, Password Security, and Machine Learning Security and Privacy. He also has interests on Graph Theory and Algorithms, and Wireless Networks. He was a research intern at the IBM T. J. Watson Research Center in Summer 2015. Shouling Ji is now a student member of ACM, IEEE, USENIX, and IEEE COMSOC. He was the Membership Chair of the IEEE Student Branch at Georgia State (2012-2013). Shouling Ji is the recipient of three best paper awards, 2012 Graduate Research Award (GSU), and the 2012 Chinese Government Award for Outstanding Self-Financed Students Abroad."
Clipping the Power of Kleptographic Attacks,Qiang Tang PH.D.,2015-08-25,地中国科学院信息工程研究所3号楼（B2座）3224室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201508/t20150813_301994.html,none,"Kleptography, originally introduced by Young and Yung [Crypto ’96], studies how to steal information securely and subliminally from cryptosystems. The basic framework considers the (in)security of malicious implementations of a standard cryptographic primitive by embedding a“backdoor” into the system. Remarkably, crippling subliminal theft is possible even if the subvertedcryptosystem produces output indistinguishable from a secure “reference implementation.” After a long hiatus, interest in such issues was rekindled by the dramatic revelations of Edward Snowden, demonstrating that such deliberate attacks have been deployed and presumably used for massive surveillance. Notably, Bellare, Paterson, and Rogaway [Crypto ’14] initiated a formal study of attacks on symmetric key encryption algorithms.Motivated by the original examples of subverting key generation algorithms in the kleptography papers from Young and Yung [Crypto ’96, Eurocrypt ’97], we initiate the study of cryptography in the setting where ALL algorithms are subject to kleptographic attacks—we call this cliptography.  In this talk, I will present some of our recent progress along this line.","Qiang Tang graduated from SKLOIS in 2009, and recently got his Ph.D from the University of Connecticut, under the supervision of Aggelos Kiayias and Alexander Russell. He will be joining Cornell as a post-doctoral researcher this fall. He is awarded the Taylor Booth Graduate Scholarship and several pre-doctoral fellowships from UCONN. During his Ph.D, he worked as a research intern at NTT research lab, Tokyo with Tatsuaki Okamoto, and the University of Wisconsin, Madison with Thomas Ristenpart, and he was also a visiting researcher at the University of Athens, Greece. His research interests lie in the combination of accountability (e.g., digital rights management), post-Snowden cryptography, and crypto-currency."
Brauer-Manin Obstruction and Counting Integral Points,Prof. Dasheng Wei (Chinese Academy of Sciences),2015-07-22,中国科学院信息工程研究所3号楼3224室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201507/t20150727_300762.html,none,"In this talk, we will introduce the Brauer-Manin obstruction of a variety, which is a necessary condition for the existence of rational points and integral points. For some variety (homogenous space), we will also introduce a formula of the number of its integral points with Brauer-Manin obstruction.",魏达盛博士现为中科院数学与系统科学研究院副教授。他毕业于中国科技大学，研究方向为算术几何，数论。研究成果包括：1. 确定了环面的主齐性空间整点的存在性；2. 研究了局部域最大阿贝尔扩域塔；3. 证明了分圆整数表三平方和满足局部整体原则。
Arakelov class groups and LLL,"Prof. René Schoof（Università di Roma ""Tor Vergata""）",2015-07-21,Room 3101 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201507/t20150727_300761.html,none,"The Arakelov class group of a number field is analogous to the Picard group of a curve. Instead of line bundles, it classifies ideal lattices. In these lectures we explain this analogy and pay special attention to computational aspects.","René Schoof received his PhD from the University of Amsterdam. He is a professor at Università di Roma ""Tor Vergata"" in Rome, Italy. His research interests include Algebraic Number Theory, Arakelov Theory, Iwasawa Theory, Computational Number Theory and Abelian Varieties. He invented the first polynomial-time algorithm for counting points on elliptic curves over finite fields, which has major applications in number theory and cryptography. He wrote a book on Mihailescus proof of the Catalans conjecture."
Expander graphs and linear codes,none,2015-07-30,3224 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201507/t20150727_300760.html,none,"Expander graphs are highly connected sparse finite graphs. They play an important role in several areas of mathematics, including number theory (e.g. sieves for primes in group orbits), representation theory and geometric embeddings, as well as in computer sciences and digital signal processing, including communications network designs, pseudorandom number generators, compressive sensing, algorithm designs, among others. In this talk, we present a survey of expander graphs (including Ramanujan graphs), their connections to constructions of expander codes (or LDPC codes) that can be decoded by fast algorithms. In particular, we show that expander codes from bipartite graphs with an arbitrary vertex expansion can be decoded in linear time, improving previous work of Sipser and Spielman (1996), Feldman et. al. (2007), and Viderman (2013). This is joint work with Michael Dowling.","Shuhong Gao received his BS (1983) and MS (1986) from Department of Mathematics, Sichuan University, China, and PhD (1993) from Department of Combinatorics and Optimization, University of Waterloo, Canada.  From 1993 to 1995, he was an NSERC Postdoctoral Fellow in Department of Computer Science, University of Toronto, Canada. He joined Clemson University in USA in 1995 as an assistant professor in Mathematical Sciences, and was promoted to associate professor in 2000 (with early tenure) and to full professor in 2002.  Professor Gao has published over 60 papers in the areas of combinatorial design theory, finite fields, coding theory, cryptography, symbolic computation, and computational algebraic geometry.  His research has been supported by grants from NSA, NSF and ONR. He is currently an associate Editor for two international journals: Finite Fields and Their Applications, and Applicable Algebra in Engineering, Communication and Computing."
Towards Obfuscation-Resilient Software Plagiarism Detection,Dinghao Wu教授,2015-07-30,中国科学院信息工程研究所3号楼3224室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201507/t20150727_300733.html,none,"Software plagiarism, an act of illegally copying others’ code, has become a serious concern for honest software companies and the open source community. In this talk, I will present two program logic and semantics based methods that are obfuscation resilient. The first method is based on program behavior deviation detection. By detecting deviations between two programs, we rule out non-plagiarism; otherwise, by a repeated probabilistic argument, we conclude it is a plagiarism case. The second method uses a novel concept called longest common subsequences (LCS) of semantically equivalent basic blocks. We first compute the semantic equivalence of basic blocks, and then detect the LCS of two paths from two programs under consideration with the same input, with binary basic blocks as the sequence elements.  A similarity score is calculated based on the relative LCS length, which indicates the behavior similarity of the two programs under consideration.  The results of these two methods are published in ISSRE’14 and FSE’14.","Dinghao Wu is an Assistant Professor in the College of Information Sciences and Technology at The Pennsylvania State University. He received his Ph.D. in Computer Science from Princeton University in 2005. He was a research engineer at Microsoft in the Center for Software Excellence and the Windows Azure Division before joined Penn State. Dinghao does research on software systems, including software security, software protection, software analysis and verification, information and software assurance, software engineering, and programming languages. He has worked on foundational proof-carrying code, typed assembly languages, program analysis, and software and systems security projects. His current projects include lock-free concurrent security monitoring, real-time concurrent information flow tracking, and semantics-based software plagiarism detection. He also leads a project on cloud computing for energy and environmental sustainability. His research has been funded by National Science Foundation (NSF), Office of Naval Research (ONR), and U.S. Department of Energy (DOE)."
Security as a Service Model for Cloud Environment,none,2015-07-08,3224会议室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201507/t20150706_299097.html,none,Cloud computing is becoming increasingly important for provision of services and storage of data in the Internet. However there are several significant challenges in securing cloud infrastructures from different types of attacks. The focus of this paper is on the security services that a cloud provider can offer as part of its infrastructure to its customers (tenants) to counteract these attacks. The main idea in this talk is a “security as a service” model that a cloud provider can offer to its tenants and customers of its tenants. Our security as a service model while offering a baseline security to the provider to protect its own cloud infrastructure also provides flexibility to tenants to have additional security functionalities that suit their security requirements. I will describe the design of the security architecture and discuss how different types of attacks are counteracted by the proposed architecture.,Vijay Varadharajan is currently Professor and Microsoft Chair in Innovation in Computing at Macquarie University (2001-todate). He is also the Director of Advanced Cyber Security Research Centre (ACSRC). His this visit is sponsored by the CAS visiting professorship for senior international scientists.
Cybersecurity Dynamics: A Foundation for the Science of Cyber Security,Shouhuai Xu  教授,2015-07-21,中国科学院信息工程研究所3号楼3224室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201507/t20150702_298915.html,none,"For decades, Computer and Information Security studies have been driven by core concepts such as Confidentiality, Integrity, and Availability. What will drive the study of the emerging Science of Cyber Security? In this talk, I will present the novel framework of Cybersecurity Dynamics, which we believe will formulate the ultimately-wanted foundation for the emerging Science of Cyber Security. Cybersecurity Dynamics is an extremely multidisciplinary approach to tackling some real-world problem of the highest importance. I will start with a brief survey on the results in Cyberseurity Dynamics that have been obtained so far. I will then discuss how Cybersecurity Dynamics will benefit from mathematical techniques such as Dynamical Systems, Stochastic Processes, Control Theory, Game Theory, Statistics, and Network Science. I will outline some inherent technical barriers that must be adequately addressed before we can treat cyber security rigorously.","Shouhuai Xu is a Full Professor in the Department of Computer Science, University of Texas at San Antonio. He is the Director of the Laboratory for Cybersecurity Dynamics at UTSA. His research is primarily in making cyberspace more secure and trustworthy. He is especially interested in mathematical modeling and analysis of cybersecurity, and devising practical cyber defense technology that include both provably-secure cryptographic protocols and advanced cyber defense mechanisms. His research has been funded by AFOSR, ARO, NSF and ONR. He is a Program Committee co-chair of NSS’15 and was a Program Committee co-chair of Inscrypt’13. He has served on the Program Committees of 100+ international conferences/workshops. He is currently an Associate Editor of IEEE Transactions on Dependable and Secure Computing (IEEE TDSC) and IEEE Transactions on Information Forensics and Security (IEEE T-IFS). He earned his PhD in Computer Science from Fudan University."
Trust in Crypto Role-based Access Control for Secure Cloud Data Storage,none,2015-07-03,3224会议室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201507/t20150701_298716.html,none,"I will start with a brief introduction on certain general aspects of trust. Then I will give a brief overview of the role based encryption scheme for secure cloud data storage that I talked about last year. Then I will talk about trust in role based encryption schemes for secure cloud data storage. Here I will describe two trust models, which we refer to as Owner-Role RBAC and Role-User RBAC trust models.(i) Owner-Role RBAC Trust Model: assists the data owners to evaluate the trust on the roles in a RBAC system and helps to use this trust evaluation to decide whether to store their encrypted data in the cloud for a particular role, and(ii) Role-User RBAC Trust Model: assists the roles or role managers to evaluate the trust on the users in the RBAC system and helps to use this trust in the decision whether to grant the membership to a user.",Vijay Varadharajan is currently Professor and Microsoft Chair in Innovation in Computing at Macquarie University (2001-todate). He is also the Director of Advanced Cyber Security Research Centre (ACSRC). Before this he was Dean of School of Computing and IT at University of Western Sydney (1996-2000).
Planar Functions and Their Applications,Prof. DING Cunsheng,2015-07-02,中国科学院信息工程研究所3号楼3224室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201506/t20150627_298059.html,none,"Planar functions are an interesting topic of mathematics, and have applications in many areas of science and engineering. In this talk, we will talk about planar functions and their applications in cryptography, coding theory, combinatorics, and semifields.","Dr. Ding obtained his PhD. Degree in 1977 from the University of Turku, Turku, Finland. Currently, he is a full professor in the Department of Computer Science of Hong Kong University of Science and Technology. His main research areas are cryptography, information security and coding theory.  He has published seminal papers at top journals and conferences including IEEE Information Theory, Design Codes and Cryptography, FSE and EUROCRYPT. He has coauthored five research monographs published by Elsevier , Springer Verlag , World Scientific and the National Defense Press.Prof. Ding is a guest editor for five journal special issues on cryptography and coding theory, and is an editor of six other international journals. He has served on the program committee of numerous international conferences, and co-chaired three international conferences on cryptography and coding theory."
Factor Base Discrete Logarithms in Kummer Extensions,Prof. Qi Cheng (University of Oklahoma),2015-06-23,地中国科学院信息工程研究所3号楼3224室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201506/t20150615_296541.html,none,"The discrete logarithm over finite fields of small characteristic can be solved much more efficiently than previously thought. This algorithmic breakthrough is based on heuristic polynomial time algorithms to compute the factor base discrete logarithm, invented by Joux. In this talk, we concentrate on the Kummer extension F_(q^(2(q-1)) ). We design a new heuristic algorithm with an improved bit complexity O(q^(3.4)) (or algebraic complexity O(q^(2.4)) ) to compute the discrete logarithms of elements in a factor base of cardinality q^2. We reduce the correctness of the algorithm to a conjecture concerning the determinant of a simple (q+1)-dimensional lattice, rather than to elusive smoothness assumptions. We verify the conjecture numerically for all qs such that 〖log〗_2 q^(2(q-1))≤5000, and provide theoretical supporting evidences. This is a joint work with Dianyan Xiao and Jincheng Zhuang.","Dr. Qi Cheng is the Williams companies foundation presidential professor in the School of Computer Science at University of Oklahoma. His main research areas are in theoretical computer science, cryptography, coding theory, computational number theory and molecular computing. He obtained his Ph.D. degree in computer science from the University of Southern California in 2001. He has published seminal papers at top journals and conferences including STOC, FOCS, CRYPTO. He is a recipient of the NSF CAREER Award in 2003, and a recipient of the distinguished paper award of ISSAC 2013."
CAESAR Competition and Our Candidate SHELL,王磊,2015-05-28,3224会议室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201505/t20150528_293006.html,none,"A competition CAESAR is being conducted to identify a portfolio of authenticated encryption schemes. We introduce CAESAR competition and its current status. Moreover, we have submitted one candidate SHELL to the competition, and will present the specification of SHELL in this talk.",none
The sum can be weaker than each part,王磊,2015-05-28,3224会议室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201505/t20150528_293005.html,none,"In this paper we study the security of summing the outputs of two independent hash functions, in an effort to increase the security of the resulting design, or to hedge against the failure of one of the hash functions. The exclusive-or (XOR) combiner $H_1(M) \oplus H_2(M)$ is one of the two most classical combiners, together with the concatenation combiner $H_1(M) \| H_2(M)$. While the security of the concatenation of two hash functions is well understood since Jouxs seminal work on multicollisions, the security of the sum of two hash functions has been much less studied.The XOR combiner is well known as a good PRF and MAC combiner, and is used in practice in TLS versions 1.0 and 1.1. In a hash function setting, Hoch and Shamir have shown that if the compression functions are modeled as random oracles, or even weak random oracles  i.e. they can easily be inverted -- in particular $H_1$ and $H_2$ offer no security), $H_1 + H_2$ is indifferentiable from a random oracle up to the birthday bound.In this work, we focus on the preimage resistance of the sum of two narrow-pipe $n$-bit hash functions, following the Merkle-Damg{a}rd or HAIFA structure (the internal state size and the output size are both $n$ bits). We show a rather surprising result: the sum of two such hash functions, e.g. SHA-512 + Whirlpool, can never provide $n$-bit security for preimage resistance. More precisely, we present a generic preimage attack with a complexity of $	ilde O(2^{5n/6})$. While it is already known that the XOR combiner is not preserving for preimage resistance (i.e. there might be some instantiations where the hash functions are secure but the sum is not), our result is much stronger: for any narrow-pipe functions, the sum is not preimage resistant.Besides, we also provide concrete preimage attacks on the XOR combiner (and the concatenation combiner) when one or both of the compression functions are weak; this complements Hoch and Shamirs proof by showing its tightness for preimage resistance.Of independent interests, one of our main technical contributions is a novel structure to control simultaneously the behavior of independent hash computations which share the same input message.  We hope that breaking the pairwise relationship between their internal states will have applications in related settings.",none
